X_pix,Y_pix,V_input,Ax_input,Dir_input,Steps_input
1746,751,0.0,0.0,0.0,0.0
1715,756,1.4,1.0,pos,20.0
1743,751,1.4,1.0,neg,20.0
1715,758,1.4,1.0,pos,20.0
1742,749,1.4,1.0,neg,20.0
1711,759,1.4,1.0,pos,20.0
1740,749,1.4,1.0,neg,20.0
1709,755,1.4,1.0,pos,20.0
1739,749,1.4,1.0,neg,20.0
1709,760,1.4,1.0,pos,20.0
1738,749,1.4,1.0,neg,20.0
1757,805,2.0,2.0,pos,20.0
1737,749,2.0,2.0,neg,20.0
1757,807,2.0,2.0,pos,20.0
1736,747,2.0,2.0,neg,20.0
1757,804,2.0,2.0,pos,20.0
1734,740,2.0,2.0,neg,20.0
1754,801,2.0,2.0,pos,20.0
1731,740,2.0,2.0,neg,20.0
1754,799,2.0,2.0,pos,20.0
1731,738,2.0,2.0,neg,20.0
