X_pix,Y_pix,V_input,Ax_input,Dir_input,Steps_input,dx,dy,disp
1746,751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1715,756,1.4,1.0,pos,20.0,-31.0,5.0,31.400636936215164
1743,751,1.4,1.0,neg,20.0,28.0,-5.0,28.442925306655784
1715,758,1.4,1.0,pos,20.0,-28.0,7.0,28.861739379323623
1742,749,1.4,1.0,neg,20.0,27.0,-9.0,28.460498941515414
1711,759,1.4,1.0,pos,20.0,-31.0,10.0,32.57299494980466
1740,749,1.4,1.0,neg,20.0,29.0,-10.0,30.675723300355934
1709,755,1.4,1.0,pos,20.0,-31.0,6.0,31.575306807693888
1739,749,1.4,1.0,neg,20.0,30.0,-6.0,30.59411708155671
1709,760,1.4,1.0,pos,20.0,-30.0,11.0,31.953090617340916
1738,749,1.4,1.0,neg,20.0,29.0,-11.0,31.016124838541646
1757,805,2.0,2.0,pos,20.0,19.0,56.0,59.135437767890075
1737,749,2.0,2.0,neg,20.0,-20.0,-56.0,59.464274989274024
1757,807,2.0,2.0,pos,20.0,20.0,58.0,61.35144660071187
1736,747,2.0,2.0,neg,20.0,-21.0,-60.0,63.56886030125127
1757,804,2.0,2.0,pos,20.0,21.0,57.0,60.74537019394976
1734,740,2.0,2.0,neg,20.0,-23.0,-64.0,68.00735254367721
1754,801,2.0,2.0,pos,20.0,20.0,61.0,64.19501538281614
1731,740,2.0,2.0,neg,20.0,-23.0,-61.0,65.19202405202648
1754,799,2.0,2.0,pos,20.0,23.0,59.0,63.324560795950255
1731,738,2.0,2.0,neg,20.0,-23.0,-61.0,65.19202405202648
